index,MainBranch,Employment,Country,Age1stCode,LearnCode,YearsCode,LanguageHaveWorkedWith,Age,Gender
1379,I am a developer by profession,Employed full-time,Italy,11 - 17 years,School;Friend or family member;Colleague,38,Java,45-54 years old,Man
1380,I am a student who is learning to code,"Student, full-time",United States of America,5 - 10 years,Other (please specify):,9,Bash/Shell;C#;Java;Kotlin;Python,Under 18 years old,Man
1381,I am a developer by profession,"Not employed, but looking for work",India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",5,Bash/Shell;C++;Go;HTML/CSS;JavaScript;Python,18-24 years old,Man
1382,I am a developer by profession,Employed full-time,India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification;Colleague",12,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;TypeScript,25-34 years old,Man
1383,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Germany,11 - 17 years,Online Courses or Certification,8,Go;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript,25-34 years old,Man
1384,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School;Other (please specify):,16,C#;Java;JavaScript;SQL;TypeScript,25-34 years old,"Non-binary, genderqueer, or gender non-conforming"
1385,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",Turkey,45 - 54 years,School;Other (please specify):,23,C++;Java;Kotlin;Python,45-54 years old,Prefer not to say
1386,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Sri Lanka,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",3,C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL,18-24 years old,Man
1387,I am a developer by profession,Employed part-time,United States of America,5 - 10 years,Other (please specify):,10,C;C#;HTML/CSS;Rust,18-24 years old,Man
1388,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Russian Federation,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Other (please specify):",2,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;SQL;TypeScript,18-24 years old,Man
1389,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,18 - 24 years,School,7,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript,25-34 years old,Man
1390,I am a student who is learning to code,"Student, full-time",Portugal,11 - 17 years,School,3,Assembly;Bash/Shell;C;C++;Java;JavaScript;Python,18-24 years old,Man
1391,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Online Forum;Friend or family member,25,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,25-34 years old,Man
1392,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,11 - 17 years,Other (please specify):,,HTML/CSS;JavaScript;Python,Prefer not to say,Prefer not to say
1393,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,,12,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL,35-44 years old,Man
1394,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Germany,11 - 17 years,School;Friend or family member,29,C++;Python,45-54 years old,Man
1395,I am a developer by profession,Employed full-time,Viet Nam,18 - 24 years,Online Forum;Friend or family member;Online Courses or Certification;Colleague,3,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;SQL,25-34 years old,Man
1396,I code primarily as a hobby,"Student, full-time",United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Friend or family member",2,Bash/Shell;C++;Dart;HTML/CSS;JavaScript;Node.js;PHP;Python;Swift;TypeScript,Under 18 years old,Man
1397,I am a developer by profession,Employed full-time,Netherlands,5 - 10 years,Other (please specify):,35,Assembly;C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;PHP;PowerShell;Ruby;SQL;TypeScript,45-54 years old,Man
1398,I am a developer by profession,Employed full-time,Tunisia,18 - 24 years,School;Online Courses or Certification,5,Java;JavaScript;SQL;TypeScript,25-34 years old,Man
1399,I code primarily as a hobby,"Student, full-time",United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Other (please specify):",4,C++;JavaScript;Node.js;TypeScript,,Man
1400,"I am not primarily a developer, but I write code sometimes as part of my work",,Germany,5 - 10 years,School,13,Bash/Shell;C;Matlab;Python;R,18-24 years old,
1401,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Germany,18 - 24 years,Other (please specify):,47,Delphi,55-64 years old,Man
1402,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Belgium,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Other (please specify):",15,Bash/Shell;C;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Matlab;Node.js;PHP;Python;Ruby;SQL;TypeScript,25-34 years old,Man
1403,I am a developer by profession,"Student, full-time",India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Node.js;Python;SQL,18-24 years old,Man
1404,I am a developer by profession,Employed full-time,Belgium,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",8,Elixir;Erlang;Go;JavaScript;Node.js;PHP;Python;SQL;TypeScript,25-34 years old,Man
1405,I am a developer by profession,Employed full-time,Singapore,11 - 17 years,Friend or family member,18,HTML/CSS;JavaScript;Kotlin;Swift;TypeScript,25-34 years old,Man
1406,I am a developer by profession,Employed part-time,Netherlands,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",7,HTML/CSS;PHP;SQL,18-24 years old,Man
1407,I am a developer by profession,Employed part-time,Romania,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Colleague",7,Assembly;Bash/Shell;C;C#;C++;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Matlab;Node.js;PowerShell;Python;SQL;TypeScript,18-24 years old,Man
1408,I am a student who is learning to code,"Student, part-time",Hungary,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",3,C#;HTML/CSS,18-24 years old,Man
1409,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Czech Republic,11 - 17 years,School;Colleague,12,C;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript,25-34 years old,Man
1410,I am a student who is learning to code,"Student, full-time",India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",,HTML/CSS;JavaScript;Node.js;Rust;TypeScript,Under 18 years old,Man
1411,I am a developer by profession,"Not employed, but looking for work",Taiwan,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum",12,Assembly;C;C++;Java;JavaScript;Python;SQL,35-44 years old,Man
1412,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",16,Node.js,25-34 years old,Man
1413,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Ukraine,18 - 24 years,Online Courses or Certification;Other (please specify):,3,Bash/Shell;PowerShell;Python;R;SQL,18-24 years old,Man
1414,I am a developer by profession,Employed full-time,Japan,11 - 17 years,Other (please specify):,26,Bash/Shell;C#;HTML/CSS;JavaScript;PHP;SQL,35-44 years old,Man
1415,I am a developer by profession,Employed full-time,Italy,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",13,Elixir;Go;Rust,25-34 years old,Man
1416,I am a developer by profession,Employed full-time,India,18 - 24 years,"Other online resources (ex: videos, blogs, etc)",5,HTML/CSS;Java;JavaScript;SQL,25-34 years old,Man
1417,I code primarily as a hobby,I prefer not to say,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc)",Less than 1 year,Assembly;Bash/Shell;C;HTML/CSS;JavaScript,Under 18 years old,Man
1418,None of these,I prefer not to say,United States of America,,Other (please specify):,,,,
1419,I am a developer by profession,Employed full-time,Sweden,,,,C#;JavaScript;Python,25-34 years old,Man
1420,I am a developer by profession,Employed full-time,Turkey,18 - 24 years,School,5,C;C#;Java;JavaScript;Python,18-24 years old,Man
1421,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Italy,35 - 44 years,Other (please specify):,8,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,45-54 years old,Man
1422,I am a developer by profession,Employed full-time,Brazil,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",10,C#,25-34 years old,Man
1423,"I am not primarily a developer, but I write code sometimes as part of my work","Not employed, but looking for work",Tunisia,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",2,HTML/CSS;JavaScript;Python;SQL,18-24 years old,Man
1424,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",10,C;C#;C++;HTML/CSS;JavaScript;Python,25-34 years old,Man
1425,"I am not primarily a developer, but I write code sometimes as part of my work","Student, part-time",France,5 - 10 years,School,5,Assembly;Bash/Shell;C;C#;C++;Dart;HTML/CSS;JavaScript;Kotlin;Node.js;Python,18-24 years old,Man
1426,I am a developer by profession,Employed full-time,Austria,45 - 54 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Other (please specify):",36,C#;PowerShell;SQL,45-54 years old,Man
1427,I am a developer by profession,Employed full-time,Canada,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",6,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript,25-34 years old,Prefer not to say
1428,I am a developer by profession,Employed full-time,Colombia,11 - 17 years,Colleague,2,C#;HTML/CSS;JavaScript;SQL,25-34 years old,Man
1429,I am a developer by profession,Employed full-time,Portugal,18 - 24 years,School,18,Bash/Shell;HTML/CSS;JavaScript;PowerShell;Python;SQL,25-34 years old,Man
1430,I am a developer by profession,Employed full-time,South Korea,5 - 10 years,,10,C++;HTML/CSS;JavaScript;Node.js,25-34 years old,Man
1431,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification",15,Bash/Shell;C;Go;HTML/CSS;JavaScript;Node.js;Perl;PHP;Python;SQL;TypeScript,25-34 years old,Man
1432,I am a developer by profession,Employed part-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,Other (please specify):,23,C#;HTML/CSS;JavaScript;PHP,35-44 years old,Man
1433,I am a developer by profession,Employed full-time,Denmark,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",13,Bash/Shell;JavaScript;Node.js,25-34 years old,Man
1434,I am a developer by profession,,Switzerland,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",12,C#;C++;Elixir;HTML/CSS;PHP;Python;SQL;TypeScript,25-34 years old,Man
1435,I am a developer by profession,Employed full-time,Germany,11 - 17 years,Other (please specify):,42,C;Java;Perl,55-64 years old,Man
1436,I am a student who is learning to code,"Student, full-time",Portugal,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum",2,C;C#;C++;SQL,18-24 years old,Man
1437,I am a developer by profession,Employed full-time,"Iran, Islamic Republic of...",11 - 17 years,,20,C;C#;C++;HTML/CSS;JavaScript;Kotlin;Node.js;PHP;SQL;TypeScript,35-44 years old,Man
1438,I am a developer by profession,Employed full-time,Canada,11 - 17 years,School,7,C#;HTML/CSS;JavaScript,18-24 years old,Man
1439,I am a developer by profession,Employed full-time,Romania,5 - 10 years,School,13,Assembly;Bash/Shell;C;Dart;Go;HTML/CSS;Java;JavaScript;Matlab;Node.js;Objective-C;Swift,18-24 years old,Man
1440,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",15,Bash/Shell;C++;Go;Python;TypeScript,25-34 years old,Man
1441,I am a student who is learning to code,"Student, full-time",Sri Lanka,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Colleague",4,Bash/Shell;C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;Python;R;SQL,18-24 years old,Man
1442,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Greece,11 - 17 years,School;Other (please specify):,30,C++;HTML/CSS;Java;JavaScript;Node.js;PHP;TypeScript,45-54 years old,Man
1443,I am a student who is learning to code,I prefer not to say,Brazil,11 - 17 years,Online Courses or Certification,2,Dart,18-24 years old,Man
1444,I am a developer by profession,Employed full-time,Hungary,5 - 10 years,School;Friend or family member;Colleague,21,Java;Python;SQL,35-44 years old,"Man;Non-binary, genderqueer, or gender non-conforming"
1445,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Hungary,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School",8,C++;HTML/CSS;JavaScript;Python;R,25-34 years old,Man
1446,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",15,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript,25-34 years old,Man
1447,I am a student who is learning to code,Employed part-time,Latvia,11 - 17 years,School;Online Courses or Certification,6,C++;HTML/CSS;JavaScript;PHP;Python;SQL,18-24 years old,Man
1448,I am a student who is learning to code,"Student, part-time",India,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Friend or family member",5,C;C#;C++;Java;Kotlin;Python;SQL,Under 18 years old,Man
1449,I am a developer by profession,Employed full-time,Spain,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",8,Bash/Shell;HTML/CSS;JavaScript;Node.js;Python;TypeScript,18-24 years old,"Man;Non-binary, genderqueer, or gender non-conforming"
1450,"I used to be a developer by profession, but no longer am","Not employed, and not looking for work",United Kingdom of Great Britain and Northern Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Other (please specify):",18,C;C++;Python;Rust,Prefer not to say,Prefer not to say
1451,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,China,11 - 17 years,School,10,Bash/Shell;C;C#;Go;Java;JavaScript;Node.js;Python,25-34 years old,Man
1452,I am a student who is learning to code,"Student, full-time",India,18 - 24 years,"Other online resources (ex: videos, blogs, etc)",,Java;JavaScript;Node.js;Python;TypeScript,18-24 years old,Man
1453,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,School;Friend or family member;Other (please specify):,18,Bash/Shell;C;C++;Python,25-34 years old,Man
1454,I am a developer by profession,Employed full-time,United States of America,Younger than 5 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",12,Assembly;Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Perl;TypeScript,25-34 years old,Man
1455,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School;Friend or family member;Other (please specify):,30,Bash/Shell;Java;JavaScript;Kotlin;Python;TypeScript,35-44 years old,Man
1456,I am a student who is learning to code,"Student, full-time",United States of America,11 - 17 years,Coding Bootcamp;Online Courses or Certification,5,HTML/CSS;JavaScript;Python;SQL;TypeScript,Under 18 years old,Man
1457,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Brazil,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",24,Bash/Shell;Go;Python,35-44 years old,Man
1458,I am a developer by profession,"Student, full-time",India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Colleague",4,Dart;Java;Kotlin;Python,18-24 years old,Man
1459,I am a developer by profession,Employed full-time,Colombia,25 - 34 years,Coding Bootcamp;School;Online Courses or Certification,12,C#;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,25-34 years old,Man
1460,I am a developer by profession,"Independent contractor, freelancer, or self-employed",India,11 - 17 years,School;Friend or family member,16,HTML/CSS;JavaScript;Python,Prefer not to say,Prefer not to say
1461,I am a developer by profession,Employed full-time,India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Other (please specify):",4,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript,18-24 years old,Man
1462,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School,47,C++,55-64 years old,Man
1463,I am a student who is learning to code,"Independent contractor, freelancer, or self-employed",Colombia,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",2,Bash/Shell;HTML/CSS;Python;SQL,Under 18 years old,Man
1464,I am a developer by profession,Employed full-time,Poland,11 - 17 years,School,13,Bash/Shell;C;C++;Python,25-34 years old,Man
1465,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Poland,5 - 10 years,Online Forum;Friend or family member;Other (please specify):,15,C#;HTML/CSS;JavaScript;Node.js;PHP;TypeScript,25-34 years old,Man
1466,I am a developer by profession,Employed full-time,Israel,5 - 10 years,"Other online resources (ex: videos, blogs, etc)",18,Bash/Shell;C#;Dart;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;Python;SQL;TypeScript,25-34 years old,Man
1467,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Italy,11 - 17 years,Online Forum;Other (please specify):,32,Assembly;Bash/Shell;C;C++;Delphi;HTML/CSS;Java;JavaScript;Matlab;Perl;PHP;PowerShell;Python;SQL;VBA,35-44 years old,Man
1468,I am a developer by profession,Employed full-time,Israel,25 - 34 years,"Other online resources (ex: videos, blogs, etc)",4,HTML/CSS;Java;JavaScript;Kotlin;TypeScript,25-34 years old,Man
1469,I am a student who is learning to code,"Student, full-time",Netherlands,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",4,C#;Java;JavaScript;Node.js;SQL,18-24 years old,Man
1470,I am a student who is learning to code,"Student, full-time",Pakistan,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification",5,C#;Dart;HTML/CSS;JavaScript;PHP;Python,18-24 years old,Man
1471,I code primarily as a hobby,Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification",10,Bash/Shell;PowerShell;Python,Under 18 years old,Man
1472,I am a developer by profession,Employed full-time,India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",6,C#;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,18-24 years old,Man
1473,I am a developer by profession,"Student, full-time",Canada,18 - 24 years,School,10,Bash/Shell;C#;C++;HTML/CSS;Java;Matlab;Node.js;Python,25-34 years old,Man
1474,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,Friend or family member,13,Java;Kotlin;SQL,25-34 years old,Man
1475,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,Coding Bootcamp;School;Online Courses or Certification,5,Python,45-54 years old,Man
1476,I am a student who is learning to code,"Student, full-time",France,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Colleague",7,Crystal;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;Ruby;Rust;SQL,18-24 years old,Man
1477,I am a developer by profession,"Not employed, but looking for work",Kenya,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",6,HTML/CSS;JavaScript;Node.js;Python,18-24 years old,Man
1478,I am a developer by profession,Employed full-time,Netherlands,18 - 24 years,School,14,Bash/Shell;Python,25-34 years old,Man
1479,I am a student who is learning to code,"Not employed, but looking for work",Italy,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",9,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Node.js;Python;Rust;SQL,18-24 years old,Man
1480,I am a developer by profession,"Not employed, but looking for work",Sri Lanka,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",7,C;C++;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;Python,18-24 years old,Man
1481,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,Online Courses or Certification,6,Bash/Shell;HTML/CSS;Java;Python,25-34 years old,
1482,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Other (please specify):",25,Bash/Shell;HTML/CSS;JavaScript;Julia;Python,35-44 years old,Man
1483,I am a student who is learning to code,"Student, full-time",Malta,11 - 17 years,School,3,C#;HTML/CSS;Java;JavaScript;PHP;SQL,18-24 years old,Man
1484,I am a student who is learning to code,"Student, full-time",United Kingdom of Great Britain and Northern Ireland,5 - 10 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification",10,Assembly;C#;HTML/CSS;JavaScript;Python;Swift,Under 18 years old,Man
1485,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Poland,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum",21,C;C#;C++;JavaScript;Python,35-44 years old,Man
1486,I am a developer by profession,Employed full-time,Finland,11 - 17 years,School;Other (please specify):,25,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;SQL,25-34 years old,Man
1487,I am a developer by profession,Employed full-time,"Iran, Islamic Republic of...",18 - 24 years,Online Forum;Friend or family member,6,C#;Python;SQL,25-34 years old,Man
1488,I am a developer by profession,Employed full-time,Japan,11 - 17 years,School,25,Bash/Shell;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,35-44 years old,Man
1489,I am a developer by profession,Employed full-time,Spain,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague",13,Groovy;HTML/CSS;JavaScript;Kotlin;Node.js;PowerShell;TypeScript,25-34 years old,Man
1490,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School,18,C#;F#;Java;JavaScript;PowerShell;SQL,35-44 years old,Man
1491,I am a developer by profession,"Student, full-time",Germany,18 - 24 years,Colleague,7,Bash/Shell;HTML/CSS;Python;R,25-34 years old,Man
1492,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,18 - 24 years,Other (please specify):,5,Matlab;Python,18-24 years old,Man
1493,I am a developer by profession,Employed full-time,Czech Republic,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",12,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,35-44 years old,Man
1494,I am a developer by profession,Employed full-time,Israel,11 - 17 years,School,15,Bash/Shell;C#;Go;Java;SQL,35-44 years old,Man
1495,I am a developer by profession,Employed full-time,Algeria,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",10,HTML/CSS;JavaScript;PowerShell;Python;SQL,25-34 years old,Man
1496,I code primarily as a hobby,"Student, full-time",Germany,5 - 10 years,"Other online resources (ex: videos, blogs, etc)",4,Assembly;C;C++;Dart;HTML/CSS;JavaScript;Rust;TypeScript,Under 18 years old,Man
1497,I am a developer by profession,Employed full-time,Japan,11 - 17 years,Coding Bootcamp;Online Courses or Certification,8,C#;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;SQL;Swift;TypeScript,25-34 years old,Man
1498,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Germany,11 - 17 years,Other (please specify):,25,Java;JavaScript;Node.js;PHP,35-44 years old,Man
1499,I am a student who is learning to code,"Student, full-time",Singapore,5 - 10 years,Other (please specify):,13,Assembly;Bash/Shell;C;C#;F#;Haskell;HTML/CSS;Java;JavaScript;LISP;Node.js;Perl;Python;Scala,18-24 years old,Man
1500,I am a developer by profession,Employed full-time,United States of America,18 - 24 years,Other (please specify):,11,Kotlin,25-34 years old,Man
1501,I code primarily as a hobby,"Student, full-time",Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",4,C#;Dart;HTML/CSS;PHP,Under 18 years old,Man
1502,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",Poland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",10,Bash/Shell;C;HTML/CSS;Python;SQL,25-34 years old,Man
1503,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,18 - 24 years,School,4,Python;R,,
1504,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",16,C#;HTML/CSS;JavaScript;PowerShell;SQL;VBA,25-34 years old,Man
1505,I am a developer by profession,Employed full-time,France,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",20,C;C#;C++;JavaScript;PowerShell;SQL,25-34 years old,Man
1506,I am a developer by profession,Employed full-time,Austria,25 - 34 years,School;Friend or family member;Online Courses or Certification;Colleague,25,Bash/Shell;C++;HTML/CSS;JavaScript;Node.js;SQL;TypeScript;VBA,25-34 years old,"Or, in your own words:"
1507,I am a developer by profession,Employed full-time,India,18 - 24 years,Coding Bootcamp;Other (please specify):,9,C#;Go;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript,25-34 years old,Man
1508,I am a student who is learning to code,"Not employed, but looking for work",Poland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member",7,C;C++;HTML/CSS;JavaScript;Node.js;Python;SQL,18-24 years old,Man
1509,I am a developer by profession,Employed full-time,Poland,11 - 17 years,Other (please specify):,30,Julia;Python;R,35-44 years old,Man
1510,I am a developer by profession,Employed full-time,Germany,11 - 17 years,School,15,Java;Kotlin,25-34 years old,Man
1511,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,Friend or family member,16,C++;Go;HTML/CSS;JavaScript;Node.js;Python,25-34 years old,Man
1512,I am a developer by profession,Employed full-time,Germany,11 - 17 years,Friend or family member,12,Bash/Shell;Scala,35-44 years old,Man
1513,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United States of America,18 - 24 years,School;Online Courses or Certification;Colleague,19,Bash/Shell;Java;JavaScript;Perl;Python;R,35-44 years old,Man
1514,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",16,Bash/Shell;Elixir;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;TypeScript,35-44 years old,Man
1515,I am a developer by profession,Employed full-time,France,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague",10,C;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;TypeScript,25-34 years old,Man
1516,I am a developer by profession,Employed full-time,India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member",12,Java;Kotlin;SQL,18-24 years old,Man
1517,I am a developer by profession,Employed full-time,Germany,18 - 24 years,School;Online Forum;Online Courses or Certification;Colleague,4,Java;JavaScript;Node.js;Python;R;SQL;TypeScript,25-34 years old,Man
1518,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Kenya,11 - 17 years,School,18,Bash/Shell;C#;C++;HTML/CSS;JavaScript;Python;SQL,25-34 years old,Man
1519,I am a developer by profession,Employed full-time,United States of America,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Colleague",11,HTML/CSS;JavaScript;Python,25-34 years old,Man
1520,I am a developer by profession,Employed full-time,Finland,11 - 17 years,Other (please specify):,20,C++;Python;SQL,25-34 years old,Man
1521,I am a developer by profession,"Not employed, but looking for work",India,11 - 17 years,School,5,JavaScript;Python,18-24 years old,Man
1522,I am a developer by profession,Employed full-time,Spain,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",15,Swift,25-34 years old,Man
1523,I am a student who is learning to code,"Independent contractor, freelancer, or self-employed",Tunisia,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague",3,C;HTML/CSS;Java;SQL,18-24 years old,Man
1524,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,11 - 17 years,School,15,C#;Matlab,35-44 years old,Man
